,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소,위도,경도
264,강원,둔내초 덕성분교장,2016,횡성,초,미활용,강원도 횡성군 둔내면 화동리 504-1,37.5669427215033,128.2262288426
265,강원,둔내초 영호분교장,2008,횡성,초,미활용,강원도 횡성군 둔내면 영랑리 363,37.4663302242027,128.189729900408
270,강원,마차초 연덕분교장,2018,영월,초,미활용,강원도 영월군 북면 연덕리 604-4,37.2825037,128.4209702
274,강원,모곡초 동막분교장,1993,홍천,초,미활용,강원도 홍천군 서면 동막리 473-1,37.6684898772675,127.576949703911
279,강원,미동초 하사미분교장,1995,태백,초,미활용,강원도 태백시 하사미동 163-1,37.30704,128.98504
280,강원,미로초 동산분교장,1998,삼척,초,미활용,강원도 삼척시 미로면 동산리 49-1,37.3965520106755,129.085764572224
281,강원,미로초 천기분교장,2002,삼척,초,미활용,강원도 삼척시 미로면 상정리 187,37.381970674460746,129.09411752139056
288,강원,봉래초 거운분교장,2022,영월,초,미활용,강원도 영월군 영월읍 거운리 529-8,37.236348395771,128.512097500881
292,강원,부론초 단강분교장,2007,원주,초,미활용,강원도 원주시 부론면 단강리 1380,37.1541931803227,127.786224646156
295,강원,부평초 신월분교장,2017,인제,초,미활용,강원도 인제군 남면 신월리 244,38.0282336103755,128.076427828206
303,강원,삼포초 당무분교장,1997,홍천,초,미활용,강원도 홍천군 화촌면 군업리 1128,37.7230989743718,128.035841516524
305,강원,상창초 신흥분교장,1995,횡성,초,미활용,강원도 횡성군 공근면 어둔리 171-1,37.5933566587873,127.970227157759
320,강원,속초초 월운분교장,2022,홍천,초,미활용,강원도 홍천군 영귀미면 월운리 334-4,37.645492979623576,127.92653665844945
321,강원,속초초 좌운분교장,2021,홍천,초,미활용,강원도 홍천군 동면 금계로 1534,37.6359674197649,128.012566119759
327,강원,신왕초 부연분교장,2007,강릉,초,미활용,강원도 강릉시 연곡면 삼산리 1279,37.8622718815437,128.629137873712
328,강원,신천중학교,2022,영월,중,미활용,강원도 영월군 한반도면 신천리 615-2,37.51585765,127.07846436865404
329,강원,쌍룡초 토교분교장,2021,영월,초,미활용,강원도 영월군 남면 토교리 496-1,37.1598188232575,128.309086421802
364,강원,인구초 임호분교장,2021,속초양양,초,미활용,강원도 양양군 현남면 임호정리 256,37.9257017065289,128.776838446578
373,강원,장호중학교,2022,삼척,중,미활용,강원도 삼척시 근덕면 장호리 201,37.28371555,129.31177992296506
386,강원,죽정초등학교,2008,고성,초,미활용,강원도 고성군 현내면 죽정리 365,38.4701649577578,128.420150041617
387,강원,지정초 송암분교장,2003,원주,초,미활용,강원도 원주시 지정면 월송리 451,37.3845962902629,127.860244785178
400,강원,하장초 갈전분교장,2011,삼척,초,미활용,강원도 삼척시 하장읍 갈전리 365,37.3831847346518,128.894134927763
407,강원,화계초 화양분교장,1994,홍천,초,미활용,강원도 홍천군 북방면 굴지리 243-2,37.7097893227192,127.799367745792
434,충북,남신초 덕생분교,2012,음성,초,미활용,충청북도 음성군 음성읍 삼생리 94,36.9143480146972,127.623588931956
441,충북,노은초 수룡분교,1996,충주,초,미활용,충청북도 충주시 노은면 수룡리 554-1,37.0423513522842,127.80006672209
444,충북,단천초 가산폐교,2019,단양,초,미활용,충청북도 단양군 단성면 가산리 290,36.89388771452054,128.30554761186565
447,충북,대강초장정폐교,2017,단양,초,미활용,충청북도 단양군 대강면 장정리 30,36.8466247129357,128.395325956038
453,충북,동량초 서운분교,1999,충주,초,미활용,충청북도 충주시 동량면 서운리 155,36.9885451438022,128.054172428175
467,충북,백봉초 운곡분교장,1995,괴산증평,초,미활용,충청북도 괴산군 청안면 운곡리 209-2,36.7433552684306,127.698136829229
478,충북,상신초폐교,2019,진천,초,미활용,충청북도 진천군 이월면 신월리 317-16,37.5980678218354,126.929620396253
482,충북,상촌초 삼봉폐교,1993,영동,초,미활용,충청북도 영동군 상촌면 고자리 360-4,36.0896605073625,127.842894472618
484,충북,생극초 관성분교,1999,음성,초,미활용,충청북도 음성군 생극면 관성리 13-1,37.033237655076,127.579599505946
486,충북,성암초 연곡폐교,1991,진천,초,미활용,충청북도 진천군 진천읍 연곡리 191-1,36.84435512667548,127.3543890592794
490,충북,소수초 광신분교장,1995,괴산증평,초,미활용,충청북도 괴산군 소수면 몽촌리 219,36.8524034098894,127.692979368446
505,충북,영동초 화신폐교,1993,영동,초,미활용,충청북도 영동군 영동읍 화신리 228-3,36.1503302033686,127.82568006054
509,충북,오창초 가좌분교,2008,청주,초,미활용,충청북도 청원구 오창읍 가좌리 129,36.7359696712304,127.366593008077
517,충북,유덕초등학교,1999,제천,초,미활용,충청북도 제천시 덕산면 신현리 606,35.1651375,126.86272922505097
529,충북,청성초 묘금분교장,2000,옥천,초,미활용,충청북도 옥천군 청성면  묘금리 59-1,36.2766252090845,127.731987805093
530,충북,청성초 화성분교장,1999,옥천,초,미활용,충청북도 옥천군 청성면  화성리 295-1,36.3487626910065,127.737675463433
531,충북,청천초 대후분교장,1993,괴산증평,초,미활용,충청북도 괴산군 청천면 후영리 196-1,36.694917779783,127.804302470713
532,충북,청천초 신월분교장,2007,괴산증평,초,미활용,충청북도 괴산군 청천면 신월리 144,36.636284038530164,127.77501070413331
536,충북,추풍령초 신안폐교,1995,영동,초,미활용,충청북도 영동군 추풍령면 신안리 63,36.2534947269402,128.015714173137
543,충북,회남초 분저폐교,1992,보은,초,미활용,충청북도 보은군 회남면 분저리 71,36.4218212703627,127.577984091452
546,충남,고남초 영항분교,1999,태안,초,미활용,충청남도 태안군 고남면 고남리 96-4,36.4092493385301,126.421481382738
549,충남,광시초등학교,1999,예산,초,미활용,충청남도 예산군 광시면 신대리 197,36.571409700684924,126.78126962029684
551,충남,금남초등학교,1999,금산,초,미활용,충청남도 금산군 남일면 마장리 912-1,36.47249865,127.2878212198275
555,충남,대명초등학교,2022,논산계룡,초,미활용,충청남도 논산시 상월면 대촌리 268,37.5471496,127.15282737592494
